Date,Open,High,Low,Close,Adj Close,Volume
2009-08-06,60.669998,61.049999,59.549999,60.590000,46.592247,46851200
2009-08-13,60.689999,60.700001,59.500000,60.369999,46.423077,49527200
2009-08-20,60.549999,61.490002,60.180000,60.630001,46.623009,54723300
2009-08-27,60.570000,60.750000,59.470001,59.759998,46.326431,52584800
2009-09-03,59.840000,61.130001,59.279999,60.919998,47.225670,34243700
2009-09-10,61.040001,61.049999,59.740002,60.189999,46.659763,43112200
2009-09-17,60.200001,61.279999,60.169998,60.770000,47.109390,55135600
2009-09-24,60.889999,61.540001,60.330002,60.889999,47.202408,44491500
2009-10-01,60.930000,60.930000,59.340000,60.709999,47.062881,47484500
2009-10-08,61.070000,62.740002,60.139999,60.549999,46.938843,73618400
2009-10-15,60.430000,61.590000,60.250000,60.310001,46.752804,67686600
2009-10-22,60.150002,61.240002,59.500000,59.570000,46.179150,56586300
2009-10-29,59.820000,60.060001,58.779999,59.520000,46.140381,78324600
2009-11-05,59.810001,61.389999,59.570000,60.869999,47.186909,52438600
2009-11-12,60.639999,62.490002,60.619999,62.320000,48.310966,60344600
2009-11-19,62.240002,63.439999,61.639999,63.299999,49.070671,60334400
2009-11-26,62.520000,64.239998,62.009998,63.880001,49.912033,40095000
2009-12-03,64.050003,65.279999,63.869999,64.379997,50.302708,56604400
2009-12-10,64.650002,65.410004,64.389999,64.800003,50.630871,48259600
2009-12-17,64.440002,65.000000,63.910000,64.570000,50.451168,56870300
2009-12-24,64.690002,65.400002,64.519997,64.910004,50.716816,20391400
2009-12-31,65.120003,65.120003,63.820000,64.449997,50.357391,40313100
2010-01-07,64.250000,65.230003,63.630001,64.970001,50.763702,50619800
2010-01-14,65.199997,65.949997,63.980000,65.150002,50.904331,57108800
2010-01-21,65.070000,65.470001,62.220001,63.439999,49.568253,69105500
2010-01-28,63.570000,64.269997,62.630001,63.630001,49.716705,67959000
2010-02-04,63.490002,63.619999,61.889999,62.730000,49.013496,66725600
2010-02-11,62.619999,64.360001,62.110001,63.980000,49.990170,40387300
2010-02-18,63.980000,64.699997,63.230000,63.450001,49.576065,53323300
2010-02-25,62.790001,63.750000,62.520000,63.400002,49.916027,47480500
2010-03-04,63.529999,64.559998,63.369999,64.290001,50.616737,69345000
2010-03-11,64.150002,64.739998,63.599998,64.650002,50.900177,42568200
2010-03-18,64.580002,65.489998,64.370003,64.750000,50.978901,62429900
2010-03-25,65.040001,65.309998,64.330002,65.199997,51.333195,48010600
2010-04-01,65.370003,65.889999,65.000000,65.220001,51.348946,36887700
2010-04-08,65.190002,65.849998,64.769997,65.489998,51.561520,47611000
2010-04-15,65.290001,66.199997,64.889999,65.389999,51.482792,64297800
2010-04-22,65.180000,65.239998,64.209999,64.620003,50.876564,64878200
2010-04-29,64.849998,65.620003,64.300003,65.139999,51.285961,65535900
2010-05-06,65.040001,65.360001,60.029999,64.900002,51.097008,85238300
2010-05-13,64.839996,65.160004,62.049999,62.220001,48.986977,72447000
2010-05-20,61.820000,61.840000,59.150002,59.660000,46.971455,99998100
2010-05-27,59.740002,59.889999,57.549999,59.730000,47.026554,91832700
2010-06-03,59.889999,60.150002,57.759998,58.169998,46.216671,77997400
2010-06-10,58.720001,59.580002,57.939999,59.240002,47.066795,61971700
2010-06-17,59.279999,60.090000,58.650002,59.240002,47.066795,67188200
2010-06-24,59.029999,59.939999,58.630001,59.060001,46.923779,115095900
2010-07-01,59.070000,60.700001,58.650002,60.610001,48.155273,61249000
2010-07-08,60.930000,61.730000,60.049999,60.619999,48.163219,59460100
2010-07-15,60.619999,60.750000,56.869999,57.119999,45.382435,88699100
2010-07-22,57.430000,58.439999,56.860001,57.830002,45.946537,75290800
2010-07-29,58.099998,59.930000,57.270000,59.740002,47.464058,58828500
2010-08-05,59.529999,60.250000,58.299999,58.500000,46.478863,50016400
2010-08-12,58.150002,59.820000,57.470001,59.349998,47.154190,49552400
2010-08-19,59.169998,59.349998,57.840000,57.980000,46.065712,58684200
2010-08-26,58.200001,58.360001,56.990002,58.290001,46.312008,59915800
2010-09-02,58.520000,59.029999,58.299999,58.849998,47.197884,29650700
2010-09-09,59.389999,61.150002,59.259998,61.049999,48.962296,52167500
2010-09-16,60.820000,62.500000,60.759998,61.970001,49.700130,52530900
2010-09-23,61.630001,62.599998,61.570000,62.310001,49.972820,50441100
2010-09-30,62.490002,63.259998,61.299999,63.209999,50.694603,55101600
2010-10-07,63.290001,63.790001,62.970001,63.580002,50.991364,42165600
2010-10-14,63.790001,64.029999,62.500000,63.599998,51.007389,60154100
2010-10-21,63.860001,64.230003,63.279999,63.570000,50.983345,44720200
2010-10-28,63.939999,64.199997,63.310001,64.190002,51.480591,46736100
2010-11-04,64.320000,64.919998,63.549999,63.950001,51.288105,49112200
2010-11-11,63.700001,64.690002,62.650002,63.060001,50.574322,57851600
2010-11-18,63.470001,64.220001,62.650002,63.290001,50.758778,57827000
2010-11-25,62.500000,62.570000,61.250000,62.419998,50.061035,44656300
2010-12-02,62.389999,62.880001,62.139999,62.450001,50.516113,46432900
2010-12-09,62.430000,63.160000,61.560001,62.570000,50.613178,63120300
2010-12-16,62.750000,62.799999,61.919998,62.020000,50.168289,52767400
2010-12-23,62.020000,62.459999,61.820000,62.130001,50.257271,23716100
2010-12-30,62.099998,63.540001,61.750000,63.310001,51.211765,49830500
2011-01-06,63.430000,63.529999,62.000000,62.500000,50.556549,44151300
2011-01-13,62.560001,62.980000,62.009998,62.560001,50.605087,44306000
2011-01-20,62.730000,63.250000,60.599998,60.599998,49.019634,84142600
2011-01-27,60.639999,61.040001,59.689999,60.619999,49.035805,70349200
2011-02-03,60.660000,60.990002,60.590000,60.880001,49.246128,44430500
2011-02-10,60.639999,61.169998,60.419998,60.520000,48.954922,44388300
2011-02-17,60.369999,61.220001,60.330002,60.389999,48.849770,42677500
2011-02-24,60.470001,61.500000,59.360001,60.810001,49.189503,67961300
2011-03-03,61.119999,61.290001,60.299999,60.400002,49.299709,47783800
2011-03-10,60.139999,60.299999,57.500000,57.660000,47.063263,70066300
2011-03-17,58.209999,59.160000,57.900002,58.720001,47.928459,57572200
2011-03-24,58.980000,59.730000,58.650002,59.380001,48.467159,45132400
2011-03-31,59.209999,60.180000,59.060001,59.660000,48.695705,49572200
2011-04-07,59.720001,60.169998,59.250000,59.599998,48.646736,46648900
2011-04-14,59.549999,64.540001,59.490002,64.389999,52.556427,101894700
2011-04-21,63.810001,65.599998,63.400002,65.570000,53.519566,57192500
2011-04-28,65.389999,66.459999,64.930000,65.669998,53.601181,67162000
2011-05-05,65.449997,66.739998,64.800003,66.570000,54.335785,65512100
2011-05-12,66.040001,67.370003,65.820000,66.500000,54.278660,58648800
2011-05-19,66.529999,66.589996,65.080002,66.290001,54.107250,59857100
2011-05-26,65.589996,67.339996,65.279999,66.480003,54.262333,55907000
2011-06-02,66.440002,66.760002,65.180000,66.139999,54.453037,48792300
2011-06-09,66.330002,67.360001,65.709999,66.160004,54.469490,55526200
2011-06-16,65.699997,66.949997,65.470001,66.070000,54.395401,53129100
2011-06-23,65.540001,66.589996,64.690002,66.309998,54.592991,53572100
2011-06-30,66.419998,67.750000,66.250000,67.550003,55.613884,35837700
2011-07-07,67.820000,68.050003,66.830002,67.629997,55.679741,44760600
2011-07-14,67.599998,67.949997,66.059998,66.239998,54.535362,52832600
2011-07-21,66.449997,66.790001,65.139999,65.230003,53.703827,52181500
2011-07-28,65.230003,65.620003,61.860001,63.410000,52.205425,77370200
2011-08-04,62.610001,63.430000,59.080002,60.200001,49.562645,148923500
2011-08-11,60.180000,64.849998,60.130001,64.260002,52.905231,140190700
2011-08-18,63.189999,65.699997,62.020000,65.529999,53.950825,85862500
2011-08-25,65.489998,66.230003,62.500000,65.800003,54.173111,65891200
2011-09-01,65.660004,66.139999,62.500000,65.430000,54.348404,51462700
2011-09-08,64.959999,65.930000,62.299999,63.730000,52.936317,71032700
2011-09-15,64.279999,64.849998,63.099998,63.130001,52.437950,55802500
2011-09-22,62.160000,64.449997,61.000000,63.250000,52.537613,63084700
2011-09-29,63.919998,64.739998,60.830002,62.349998,51.790051,73967700
2011-10-06,62.520000,64.690002,62.099998,64.330002,53.434704,46064800
2011-10-13,64.449997,64.839996,62.160000,62.639999,52.030933,56927700
2011-10-20,62.959999,64.830002,62.310001,64.489998,53.567608,57547600
2011-10-27,64.989998,65.860001,63.180000,63.639999,52.861561,65448000
2011-11-03,64.070000,64.989998,63.099998,63.529999,52.770199,48037100
2011-11-10,64.129997,65.489998,63.660000,64.400002,53.492859,44084800
2011-11-17,64.169998,64.510002,61.990002,61.990002,51.491028,78433800
2011-11-24,61.310001,64.739998,61.049999,64.720001,53.758644,41473000
2011-12-01,64.680000,64.949997,62.849998,64.449997,54.031197,62862500
2011-12-08,64.139999,64.680000,62.930000,63.180000,52.966499,53229100
2011-12-15,63.650002,65.000000,63.360001,64.959999,54.458763,58661200
2011-12-22,65.059998,66.320000,64.620003,65.449997,54.869537,24870300
2011-12-29,65.309998,66.029999,65.110001,65.480003,54.894703,36021400
2012-01-05,65.320000,65.599998,64.410004,65.129997,54.601280,50442600
2012-01-12,65.279999,65.690002,64.360001,65.279999,54.727032,32837200
2012-01-19,65.160004,65.550003,64.339996,65.220001,54.676716,59439600
2012-01-26,65.529999,66.320000,65.129997,65.690002,55.070751,56333300
2012-02-02,65.940002,66.019997,65.019997,65.239998,54.693481,42991800
2012-02-09,65.160004,65.349998,64.250000,64.650002,54.198879,52554800
2012-02-16,64.599998,65.339996,64.440002,65.000000,54.492298,33484300
2012-02-23,65.190002,66.050003,64.019997,65.080002,54.559353,51063200
2012-03-01,65.110001,65.260002,64.120003,64.300003,54.381603,40581600
2012-03-08,64.949997,65.440002,64.540001,65.080002,55.041283,46502700
2012-03-15,64.930000,65.459999,64.639999,64.760002,54.770645,52001700
2012-03-22,64.680000,65.620003,64.370003,65.620003,55.497986,48216900
2012-03-29,65.279999,66.300003,65.199997,65.389999,55.303474,48207600
